EXP_Time;EXP_PosRef;EXP_PosFb;EXP_Pressure_A;EXP_Pressure_B;EXP_Speed;EXP_Velocity;Exp_Current
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.009;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.011;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.012;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.013;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.014;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.016;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.017;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.018;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.019;0.000;0.000;4.969;0.000;0.000;0.000;1426.100
0.020;0.000;0.000;4.931;0.000;0.000;0.000;1425.600
0.021;0.000;0.000;4.938;0.000;0.000;0.000;1425.350
0.022;0.000;0.000;4.959;0.000;0.000;0.000;1425.500
0.023;0.000;0.000;4.969;0.000;0.000;0.000;1425.650
0.024;0.000;0.000;4.981;0.000;0.000;0.000;1425.450
0.025;0.000;0.000;4.916;0.000;0.000;0.000;1425.000
0.026;0.000;0.000;4.928;0.000;0.000;0.000;1424.800
0.027;0.000;0.000;4.941;0.000;0.000;0.000;1425.000
0.028;0.000;0.000;4.975;0.000;0.000;0.000;1425.200
0.029;0.000;0.000;4.975;0.000;0.000;0.000;1425.250
0.030;0.000;0.000;4.953;0.000;0.000;0.000;1424.950
0.031;0.000;0.000;4.953;0.000;0.000;0.000;1425.200
0.032;0.000;0.000;4.947;0.000;0.000;0.000;1425.100
0.033;0.000;0.000;4.944;0.000;0.000;0.000;1425.500
0.034;0.000;0.000;4.944;0.000;0.000;0.000;1425.650
0.035;0.000;0.000;4.922;0.000;0.000;0.000;1424.950
0.036;0.000;0.000;4.909;0.000;0.000;0.000;1425.250
0.037;0.000;0.000;4.900;0.000;0.000;0.000;1425.350
0.038;0.000;0.000;4.897;0.000;0.000;0.000;1425.300
0.039;0.000;0.000;4.906;0.000;0.000;0.000;1425.300
0.040;0.000;0.000;4.884;0.000;0.000;0.000;1425.150
0.041;0.000;0.000;4.894;0.000;0.000;0.000;1425.450
0.042;0.000;0.000;4.891;0.000;0.000;0.000;1425.550
0.043;0.000;0.000;4.869;0.000;0.000;0.000;1425.450
0.044;0.000;0.000;4.850;0.000;0.000;0.000;1425.600
0.045;0.000;0.000;4.938;0.000;0.000;0.000;1425.900
0.046;0.000;0.000;4.925;0.000;0.000;0.000;1426.100
0.047;0.000;0.000;4.897;0.000;0.000;0.000;1425.950
0.048;0.000;0.000;4.859;0.000;0.000;0.000;1425.500
0.049;0.000;0.000;4.862;0.000;0.000;0.000;1426.000
0.050;0.000;0.000;4.934;0.000;0.000;0.000;1426.100
0.051;0.000;0.000;4.903;0.000;0.000;0.000;1425.800
0.052;0.000;0.000;4.894;0.000;0.000;0.000;1425.550
0.053;0.000;0.000;4.878;0.000;0.000;0.000;1424.550
0.054;0.000;0.000;4.878;0.000;0.000;0.000;1424.950
0.055;0.000;0.000;5.009;0.000;0.000;0.000;1425.100
0.056;0.000;0.000;5.006;0.000;0.000;0.000;1425.300
0.057;0.000;0.000;4.997;0.000;0.000;0.000;1425.150
